№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
83;Yunusobod tumani;Уч Кахрамон;Katta halqa yo‘li ko‘chasidagi hududni DXSh asosida ijaraga berish;41.38323754129687;69.285333678593;70 m2;бўш
;;;;41.38320151095179;69.28553636381355;;
;;;;41.3831598712366;69.28552158047002;;
;;;;41.38319861237443;, 69.28531729760978;;
84;Yunusobod tumani;Посира;Bog‘ishamol ko‘chasi (Sanpi G‘ijduvon kafesi oldi)dagi hududni ;41.351963474703375;69.33014492617984;70 m2;бўш
;;;;41.35192738730997;69.33019283352702;;
;;;;41.351841334230976;69.33008364511782;;
;;;;41.35187878826495;69.33002636139501;;
85;Yunusobod tumani;Буюк Туран;“Abdulla Qodiriy” ko‘chasi (Pro.Xinkali Restoran oldi)dagi hududl;41.321626952960536;69.28353264642207;70 m2;бўш
;;;;41.32158550240962;69.28370960201269;;
;;;;41.32154809396165;69.2836987928249;;
;;;;41.32158542146399;69.28352506085163;;
86;Yakkasaroy tumani;Мухандислар; Qushbegi ko‘chasidagi hudud;41.273716028245246;69.24550015528241;140 m2;бўш
;;;;41.27395763780385;69.2454679129424;;
;;;;41.27396262678236;69.24552860440593;;
;;;;41.27371959181456;69.24556369165832;;
87;Yashnaobod tumani;Янги Давр;Jarqo‘g‘on ko‘chasi (Bashkent turar joy majmuasi oldi)dagi hududni ;41.273663425224974;69.33374106753426;70 m2;бўш
;;;;41.27374657943404;69.33386847245232;;
;;;;41.27370928604429;69.33390803503217;;
;;;;41.273630667477164;69.33378130066629;;
88;Yunusobod tumani;Катта Хасанбай;Katta halqa yo‘li hamda Yangiqo‘rg‘on ko‘chasida joylashgan (Sulton garden kafesioldida)dagi hudud;41.39794727555695;69.24360587746368;70 m2;бўш
;;;;41.397943055133;69.24366709888434;;
;;;;41.397826134052345;69.2436652760275;;
;;;;41.39781775201619;69.24360956374035;;
;;;;;;;
;;;;;;;
