№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
;;;;41.3109320257 8378;69.28465429332108 ;;
;;;;41.3106857131 0397 ;69.28463293934996;;
;;;;41.3106740665 1044 ;69.28455930325953;;
21;Mirzo Ulug‘bek tumani;Мустакиллик;Istiqlol ko‘chasi 9-uy (Infin bank bosh ofisi hududidagi avtoturargoh oldidagi) ;41.313715535983256;69.28381293488515 ;140 m2;бўш
;;;;41.3136752063 6427;69.28376334674314 ;;
;;;;41.3138734465 72536 ;69.283550305006;;
;;;;41.3139107528 79664;69.28360003900693 ;;
22;Mirzo Ulug‘bek tumani;Ойдин; Katta Darxon ko‘chasi 9-uy manzilda joylashgan avtoturargoh;41.3320894 9330998;69.312416471796 ;140 m2;қисман 10:09:40:01:04:0058  GLOBUS COMPANY ООО
;;;;41.3320683663 2272;69.3123469620 6332 ;;
;;;;41.3323067879 4313;69.3122381732 863 ;;
;;;;41.3323244891 2678 ;69.3122983889 0287;;
23;Uchtepa tumani;Ширин; 26-mavze hududidagi (Avrora Hotel avtoturargohi)ni DXSh ;41.27784665595491;69.17623794177703;70 m2;бўш
;;;;41.2778061773616;69.17626946561826;;
;;;;41.27773792713908;69.17613998229676;;
;;;;41.27778104713598;69.1761066289464;;
24;Chilonzor tumani;Bekto'pi MFY;“Algoritm” zavodi, Diydor ko‘chasidagi Institut avtoturargohi hududi;41.26174350643106;69.1641045750897;140 m2;38-oilaviy poliklinika qurish uchun ajratilgan Yer uchastkasi № A1726294003/21
;;;;41.26171152576165;69.16414528419291;;
;;;;41.26151148723016;69.16393341413011;;
;;;;41.261537816023115;69.16388939144677;;
25;Shayxontoxur tumani;Чакар;Furqat ko‘chasida joylashgan (Havas food supermarket oldidagi) hudud;41.31981495598507;69.24182510207649;70 m2;"10:10:41:05:01:0015 ""DILQOZ BIZNES"""
;;;;41.31981504087858;69.24187339748786;;
;;;;41.319659161927746;69.24186958132044;;
;;;;41.31965917258771;69.24181769470738;;
26;Shayxontoxur tumani;Чакар; Furqat ko‘chasida joylashgan (Real business academy o‘quv markazi oldidagi) hudud;41.31653686426992;69.24150583624085;140 m2;10:10:41:05:02:0110 SHA-ABDULLAYEV DILSHOD SHAXUSANOVICH 
;;;;41.31653556193574;69.2415686799934;;
;;;;41.31627316175381;69.2415374556943;;
;;;;41.316277251362656;69.24148012984355;;
27;Shayxontoxur tumani;Караташ;Qoratosh ko‘chasi 11a-uy manzilida joylashgan (Media Park “Xalqlar do‘stligi”) hudud;41.31410059687371;69.23675056002344;140 m2;бўш
