Тошкент шаҳрида режалаштирилаётган дала дўконлари манзилли рўйхати;;;;;
Яанги хаёт тумани ;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;
1;“Ўзгариш” МФЙ;Сергели 5 мавзеси 33-уй олд  қисмида;200;"41°13'27.4""N 69°12'28.3""E";Аҳоли гавжум жой
2;“Иттифоқ” МФЙ;Сергели 2 мавзеси 37-уй ён қисмида;200;"41°12'40.9""N 69°13'39.4""E";Аҳоли гавжум жой
3;“Ўзгариш” МФЙ;Сергели 5 мавзеси 3-уй олд  қисмида;200;"41°13'27.7""N 69°12'30.6""E";Аҳоли гавжум жой
4;“Халқобод” МФЙ;Қуйлиқ 5 мавзеси 33-уй олд  қисмида;200;"41°14'59.9""N 69°17'56.1""E";Аҳоли гавжум жой
5;“Хабибий” МФЙ;Сергели 5 мавзеси 109-уй олд  қисмида;200;"41°13'42.9""N 69°12'30.7""E";Аҳоли гавжум жой
6;“Хабибий” МФЙ;Сергели 5 мавзеси 103-уй олд  қисмида;200;"41°13'35.7""N 69°12'36.3""E";Аҳоли гавжум жой
7;“Мехригиё” МФЙ;Сергели 6 мавзеси 18-уй ён қисмида;200;"41°13'34.2""N 69°12'51.2""E";Аҳоли гавжум жой
8;“Кенг-макон” МФЙ;Илхомбек Эргашбек кўчаси, 197 уч. Ён қисмида;200;"41°14'24.1""N 69°17'51.0""E";Аҳоли гавжум жой
9;“Иззатли” МФЙ;Султонобод-агро Ф/Х кўчаси, 92 уч.;200;"41°13'36.1""N 69°17'02.4""E";Аҳоли гавжум жой
;;Ён қисмида;;;
10;“Иззатли” МФЙ;Кичик Хонобод кўчаси, 102 уй;200;"41°14'06.7""N 69°17'05.4""E";Аҳоли гавжум жой
;;Ён қисмида;;;
11;“Маданият” МФЙ;Янги Қўйлиқ кўчаси, 2 уй олди;200;"41°14'41.9""N 69°18'02.2""E";Аҳоли гавжум жой
Мирзо улуғбек тумани;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;Изоҳ
1;Гулзоробод;Шаббода кўчаси 1-уй олди;30;41.315120, 69.366262;Ахоли гавжум жой
2;Шўртепа;Жасорат кўчаси 57-уй олди;20;41.339585, 69.363558;Ахоли гавжум жой
3;Ҳумоюн;Ҳумоюн кўчаси 31-уй олди;30;41.340323, 69.387391;Ахоли гавжум жой
4;Ижодкор;Миллий боғ кўчаси 12-уй олди;40;41.331894, 69.421078;Ахоли гавжум жой
5;Шахрисабз;Яхё Ғуломов кўчаси 38-уй олди;20;41.310521, 69.289861;Ахоли гавжум жой
6;Мустақиллик;Ҳамид Олимжон кўчаси 7-уй олди;20;41.318025, 69.291046;Ахоли гавжум жой
7;Хамид Олимжон;Осиё кўчаси 16-уй олди;20;41.325427, 69.297550;Ахоли гавжум жой
8;Дархон;Катта Дархон кўчаси 10-уй олди;30;41.331007, 69.309094;Ахоли гавжум жой
9;Янги Олмачи;Паркент кўчаси 1-уй олди;20;41.318357, 69.318607;Ахоли гавжум жой
10;Мирзакалон Исмоилий;Мирзакалон Исмоилий кўчаси 1-уй олди;30;41.318973, 69.303470;Ахоли гавжум жой
Шайхонтоҳур тумани;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;Изоҳ
1;Кўкча;Ген. Узаков кўчаси, 7 уй ёнида;200;41.324674, 69.194806;Ахоли гавжум жой
2;Ибн Сино;Ибн Сино 1 мавзеси, 4 уй олдида;200;41.334631, 69.166909;Ахоли гавжум жой
3;Янги Камолон;Беш ёғоч дахаси, 13 уй ёнида;200;41.311586, 69.235732;Ахоли гавжум жой
4;Самарканд Дарвоза;Учлола кўчаси, 5 уй ёнида;200;41.308026, 69.216280;Ахоли гавжум жой
5;Чархновза;Гулханий кўчаси, 3 уй орқасида;200;41.301710, 69.213961;Ахоли гавжум жой
6;Жангох;484 боғча ёнида;200;41.328661, 69.252622;Ахоли гавжум жой
7;Гулобод;Гулобод мавзеси, 5 уй орқасида;200;41.326497, 69.227555;Ахоли гавжум жой
8;Янги Белтепа;Белтепа дахаси, 29, бл-6 уй ва 22 уйлар оралиғида;200;41.342051, 69.173354;Ахоли гавжум жой
9;Янги жарариқ;Жарариқ мавзеси, 2 уй ва 6 уйлар оралиғида;200;41.338884, 69.176114;Ахоли гавжум жой
Яккасарой тумани ;;;;;
№;МФЙ номи;Савдо нуқтаси жойлашган манзили;Бўш ер майдони квм;локатция ;Изоҳ
1;Белариқ;Аския кўчаси 30-кўп қаватли уйни олди;200;"41°17'19.67""Н 69°14'58.53""Э";Ахоли гавжум жой
;;;;;
2;Мерос;Хазинабоғ кўчаси, 1-кўп каватли уйни орка тарафида;200;"41°16'20.20""Н 69°13'41.81""Е";Ахоли гавжум жой
3;Қушбеги;Қушбеги кўчаси 9-кўп каватли уйни ёнида;200;"41°16'04.00""Н 69°14'37.37""Е";Ахоли гавжум жой
4;Яккасарой;Кичик ҳалқа йўли кўчаси 15-кўп каватли уйни ёнида;200;"41°15'49.70""Н 69°13'29.99""Е";Ахоли гавжум жой
;;;;;
5;Ракат;Ракат кўчаси, Опшижит домнинг орқа тарафида;200;"41°17'13.04""Н 69°14'35.10""Е";Ахоли гавжум жой
;;;;;
6;Армуғон;КХАЙ кўчаси, Ош амирининг орқа тарафида;200;"41°16'11.58""Н 69°15'26.11""Е";Ахоли гавжум жой
;;;;;
